,STATUS,SOC_NAME,POSITION_TYPE,WAGE,YEAR,REGION
231,CERTIFIED,Technical,Y,118539,2011, WEST
232,CERTIFIED,Technical,Y,97198,2011, NORTH EAST
233,CERTIFIED,Technical,Y,133078,2011, WEST
234,DENIED,Technical,Y,73549,2011, MID WEST
235,CERTIFIED,Technical,Y,78187,2011, WEST
236,CERTIFIED,Technical,Y,133078,2011, WEST
237,CERTIFIED,Technical,Y,79290,2011, MID WEST
238,CERTIFIED,Technical,Y,34798,2011, NORTH EAST
239,CERTIFIED,Technical,N,47382.4,2011, WEST
240,CERTIFIED,Technical,Y,54226,2011, MID WEST
241,CERTIFIED,Technical,Y,64251,2011, NORTH EAST
242,DENIED,Technical,Y,82929.6,2011, WEST
243,CERTIFIED,Technical,Y,43160,2011, WEST
244,CERTIFIED,Technical,Y,101566,2011, SOUTH
245,CERTIFIED,Technical,Y,83782,2011, WEST
246,CERTIFIED,Technical,Y,91104,2011, WEST
247,CERTIFIED,Technical,Y,106642,2011, SOUTH
248,CERTIFIED,Technical,Y,55598,2011, SOUTH
249,CERTIFIED,Technical,Y,76378,2011, NORTH EAST
250,CERTIFIED,Technical,Y,86070,2011, SOUTH
251,CERTIFIED,Technical,Y,82867,2011, SOUTH
252,CERTIFIED,Technical,Y,76876.8,2011, NORTH EAST
253,CERTIFIED,Technical,Y,74381,2011, MID WEST
254,CERTIFIED,Technical,Y,50752,2011, MID WEST
255,CERTIFIED,Technical,Y,55702,2011, NORTH EAST
256,DENIED,Technical,Y,36566,2011, SOUTH
257,CERTIFIED,Technical,Y,70034,2011, NORTH EAST
258,CERTIFIED,Technical,Y,33696,2011, NORTH EAST
259,CERTIFIED,Technical,Y,50128,2011, MID WEST
260,CERTIFIED,Technical,Y,48589,2011, SOUTH
261,CERTIFIED,Technical,Y,52478.4,2011, NORTH EAST
262,CERTIFIED,Technical,Y,59259,2011, MID WEST
263,CERTIFIED,Technical,Y,129459,2011, WEST
264,DENIED,Technical,N,69014.4,2011, NORTH EAST
265,CERTIFIED,Technical,Y,93496,2011, NORTH EAST
266,CERTIFIED,Technical,Y,38688,2011, NORTH EAST
